ID;Apraksts;Vietas tips;Balsu skaits;Atrašanās vieta;RDSD atbildes statuss
41;Infrastruktūras nav.;Šaurība, nepārredzamība;112;56.96943257018665, 24.15434651775286;Atbilde saņemta
40;Bedres;Segums (bedres, augstas apmales);78;56.95414909627332, 24.112319655250758;Atbilde saņemta
47;"Nobrauktuve no Van&scaron;u tilta virzienā uz centra";Strauji pagriezieni;75;56.95134059335449, 24.098682403564457;Atbilde saņemta
294;"Van&scaron;u tilta Rīgas pils pusē velosipēdistiem un gājējiem nav nekādu iespēju dro&scaron;i &scaron;ķērsot brauktuvi, jo nav nevienas gājēju pārejas!";Cits;63;56.95226503712325, 24.10207808017731;Atbilde saņemta
39;"Van&scaron;u tilts";Šaurība, nepārredzamība;58;56.95069050010736, 24.0921982889995;Atbilde saņemta
42;" Veloceliņ&scaron; starp Babīti un Priedaini. Segums nav atjaunots gadu desmitiem un netiek uzturēts.";Segums (bedres, augstas apmales);58;56.96487374412463, 23.917521899566054;Nav
122;"Ļoti &scaron;aura vieta un nepārredzams pagrieziens ap stūri.";Šaurība, nepārredzamība;58;56.95244641264076, 24.10163283348084;Atbilde saņemta
45;"Vienvirziena zīme uz Van&scaron;u tilta, ko velosipēdisti neievēro un ir pārāk vēlu, lai pēc pamanī&scaron;anas veiktu pagriezienu uz otru tilta pusi";Cits;57;56.94991292629195, 24.087696075439457;Atbilde saņemta
120;Trūkst gājēju pāreja, lai ar kājām un velo brauktu taisni pāri tiltam.;Cits;57;56.9429025217821, 24.098001122474674;Nav
44;"Strauj&scaron; pagrieziens pie Olimpijas, lai tiktu uz tilta ";Strauji pagriezieni;48;56.949029383631455, 24.082835912704468;Atbilde saņemta
199;"Bīstamība un bailes par dzīvību. Nepiecie&scaron;ama gājēju pāreja.";Cits;47;56.922996441510186, 24.10808622837067;Nav
2947;"VEF tilts - &scaron;aurība un apgrūtinātā tilta &scaron;ķērso&scaron;ana. 
Laikam kā gājējs te jūtos pat vēl sliktāk kā velobraucējs, jo, kājāmejot tltu sanāk &scaron;ķērsot lēnāk. ";Šaurība, nepārredzamība;46;56.969479332735276, 24.154407978057865;Atbilde saņemta
196;"Jūrmalas veloceļa tunelī zem Zolitūdes ielas, nepiecie&scaron;ams pārveidot restes, kuras &scaron;obrīd ir bīstamību rado&scaron;as, jo veido tādu kā bedri. Esmu pieredzējis situāciju, kad e-skūteris smagi krīt &scaron;ajā vietā.";Segums (bedres, augstas apmales);45;56.95072038405245, 23.99785816669464;Atbilde saņemta
46;"Van&scaron;u tilta uzbrauktuve no centra puses ";Šaurība, nepārredzamība;44;56.95201930114333, 24.098381996154785;Atbilde saņemta
188;"Slokas ielā, kur ir veloceļa &quot;Centrs-Jūrmala&quot; posms, ir jālikvidē gājēju barjeras, kas pamatīgi ierobežo ceļa platumu un ļoti apgrūtina velosipēdistu un gājēju ikdienu.";Šaurība, nepārredzamība;43;56.95070575635001, 24.06490802764893;Nav
185;"Jūrmalas veloceļa posmā gar t/c &quot;Olimpija&quot; veloceļu nepiecie&scaron;ams ierīkot uz brauktuves, tādējādi ātri bez pārbūves varētu likvidēt gan &scaron;o problemātisko punktu, gan gājējiem atdot intensīvi izmantoto ietvi pie tirdzniecības centra. ";Šaurība, nepārredzamība;42;56.948979647163796, 24.08139288425446;Nav
190;"Jūrmalas veloceļa posmā Vecajā Jūrmalas gatvē nepiecie&scaron;ams uz brauktuves uzklāt horizontālo marķējumu, kas palīdzētu velosipēdistiem saprast, kur jābrauc tālāk. Ļoti daudzi velosipēdisti &scaron;ajā vietā maldās un brauc pa nepareiziem ceļiem.";Cits;41;56.95065309657373, 24.05190467834473;Nav
241;"Juglas veloceļ&scaron; posmā starp Bērzaunes un Ūnijas ielu vienkār&scaron;i izbeidzas, nepiecie&scaron;ams beidzot izdomāt un izveidot risinājumu, vietas pietiek! ";Cits;38;56.971257865527555, 24.16055023670197;Nav
968;"Nav iespējams turpināt normālu kustību gar krastmalu, jo ietuve zem tilta ir ļoti &scaron;aura, apmainīties nav iespējams. Eso&scaron;ās 2 auto joslas, tālāk pārtop par 1 joslu, līdz ar to tās nav nepiecie&scaron;amas.";Šaurība, nepārredzamība;38;56.94613870702386, 24.104443788528446;Nav
113;"Valdemāra un A. Briāna ielu krustojumā ass pagrieziens un &scaron;aur&igrave;ba";Strauji pagriezieni;36;56.9627445656269, 24.124986709201995;Nav
291;Nobrauktuve atduras ēkas sienā, vajadzētu no stūra uz stūri ;Cits;35;56.95297444440501, 24.104832708835602;Nav
495;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);34;56.968687644163175, 24.15180623531342;Nav
205;Nez kāpēc nobraucot no Akmens tilta segumu veido vairākas plāksnes, nevis asfalts.;Segums (bedres, augstas apmales);33;56.94298506936181, 24.097437858581547;Nav
232;"Bedres, nekopts celiņ&scaron; (abās Bāriņu ielas pusēs)";Segums (bedres, augstas apmales);33;56.937541061880886, 24.084019661386264;Nav
870;Mūkusalas iela zem Akmens tilta ;Šaurība, nepārredzamība;32;56.942762660530754, 24.097615135833625;Nav
267;"Dzirnavu ielas velojoslas nepiecie&scaron;ams fiziski norobežot no brauktuves ar stabiņiem, atdurēm, lai uz tām nevarētu novietot automa&scaron;īnas.";Cits;32;56.95242886020987, 24.122398495674137;Nav
54;"Jūrmalas celiņ&scaron;, kas pazūd pie Depo";Cits;31;56.94856712449208, 24.03664827346802;Nav
49;"Izzūdo&scaron;ais veloceļ&scaron; no Akmens tilta uz Vecrīgu";Segums (bedres, augstas apmales);31;56.9464195923144, 24.1040575504303;Nav
82;Klusā iela, starp Brasas st. un Lielajiem kapiem nav ne veloceļa, ne ietves. Gājējiem un velo jāpārvietojas pa brauktuvi.;Cits;31;56.976503022992055, 24.14580345153809;Nav
60;"Pazūd ceļ&scaron; uz Bolderāju pa Daugavgrīvas ielu (tālāk bīstami)";Cits;30;56.97699417048225, 24.0790057182312;Nav
297;"Pazūd gājēju/veloceļ&scaron; uz Bolderāju,tālāk gan ar kājām, gan ar velosipēdistu ļoti bīstami, jo pa ceļu lielā ātrumā brauc gan auto, gan fūres. ";Cits;30;56.98426414977737, 24.032667875289917;Nav
1019;"CENTRA TUNEĻI!!!

Nejēdzība ikvienam, kas uz riteņiem (velo, ratiņi, invalīdi, koferi utt.), kā arī senioriem, kam pārvieto&scaron;anās sagādā grūtības. Nepiecie&scaron;ams ierīkot virszemes gājēju pārejas!!!";Cits;30;56.94732367747636, 24.11830544471741;Nav
253;"Luksofora pogu automatizācija - velosipēdistiem jāspiež poga, lai tiktu pāri, kamēr gājējiem nav jāspiež, tādēļ bieži ir situācijas, kad velo ir sarkans, bet gājējiem zaļ&scaron; un velosipēdisti brauc pa gājēju zaļo. ";Cits;30;56.972693486500475, 24.165614247322086;Nav
203;"Nepazeminātas apmales vienā Baložu ielas pusē, lai gan otrā ir. Ja brauc pa Kalnciema ielas kreiso pusi (Centra virzienā), pagrieziens ir labi pārskatāms, jo ir nogrie&scaron;anās josla.";Segums (bedres, augstas apmales);30;56.94531454794183, 24.072629213223998;Nav
218;"Bruģis ap sliedēm gan gājēju daļā, gan velo daļā un ārpus tās ir pamatīgi iegrimis, radot bīstamību pārsist riepu vai pat nokrist. Ar ratiņiem neiespējami pārvarēt, nepiecie&scaron;ams salabot kārtīgi, pērn jau remontēja, bet viss atkal pa vecam";Segums (bedres, augstas apmales);29;56.968094041098325, 24.150953292846683;Nav
207;"Pēk&scaron;ņs paaugstināts segums";Segums (bedres, augstas apmales);29;56.94775413371028, 24.07846569840331;Nav
219;"Dzelzceļa &scaron;ķērso&scaron;ana pie Kalnciema tilta (pie Zasulauka stacijas) nav pielāgota nedz cilvēkiem ratiņkrēslā, nedz velosipēdiem. NB - &scaron;is ir viens no galvenajiem Āgenskalna ceļiem Spices/&Scaron;ampētera virzienā";Segums (bedres, augstas apmales);29;56.93913591068744, 24.053834079331867;Nav
271;Sadragāta bruģis pie 1905. gada pieminekļa krastmalā;Segums (bedres, augstas apmales);29;56.94558863386695, 24.10533964633942;Nav
337;"Ļoti &scaron;aurs trotuārs abās ielas pusēs Deglava un Nīcgales krustojuma centra virzienā, pie liela gājēju daudzuma noslogotās pieturās.";Šaurība, nepārredzamība;28;56.95089201557025, 24.172983169582952;Nav
264;Stabs uz veloceļa.;Šaurība, nepārredzamība;28;56.97149762685039, 24.161639213562015;Nav
104;Džutas iela pie DUS Viada ļoti augsta apmale - murgs riteņbraucējiem, bērnu ratiem, par ratiņkrēsliem nemaz nerunājot...;Segums (bedres, augstas apmales);28;56.982299904487235, 24.183842539787296;Nav
121;Lapu un Nomelņu ielas krustojums ar augstām apmalēm;Segums (bedres, augstas apmales);27;56.938753005383205, 24.072938561439518;Nav
212;"Anniņmuižas bulvārī pie Dammes ielas jānoasfaltē gājēju/velo pārbrauktuve pāri tramvaja sliedēm. &Scaron;obrīd segums ir pilnībā nepieejams cilvēkiem ratiņkrēslos.";Segums (bedres, augstas apmales);27;56.96063372042022, 24.014579057693485;Nav
262;"Bruģis starp tramvaja sliedēm, kur&scaron; apgrūtina ielas &scaron;ķērso&scaron;anu ne tikai ar velo, bet arī ar bērnu ratiem un ratiņkrēslā.";Segums (bedres, augstas apmales);27;56.93546642463612, 24.071420431137085;Nav
266;"Lāčplē&scaron;a ielas velojoslas nepiecie&scaron;ams fiziski norobežot no brauktuves ar stabiņiem, atdurēm, lai uz tām nevarētu novietot automa&scaron;īnas.";Cits;27;56.953072443937224, 24.127671718597416;Nav
1062;"Dzirnavu ielā posmā no Brīvības līdz Pulveža Brieža ielai ir desmitiem &scaron;ādu notekreņu, kas padara brauk&scaron;anu ar velosipēdu ļoti neērtu, var pārsist kameru. Invalīdiem &scaron;ādas renes ir pilnībā nepārvaramas... ";Segums (bedres, augstas apmales);25;56.95624339422512, 24.117457866668705;Nav
586;"&Scaron;eit nav pat ietves, tikai taciņa. Nepiecie&scaron;ams noasfaltēt ietvi.";Segums (bedres, augstas apmales);25;56.94485421503382, 24.11225438117981;Nav
1902;"Pagrieziens no Z.A Meirerovica Bulvāra uz Kri&scaron;jāņa Valdemāra ielu. Ietve ir ārkārtīgi &scaron;aura un nepārredzama. Intensīva gājēju kustība un pretī brauco&scaron;i velosipēdisti &scaron;eit veido pudeles kaklu.";Šaurība, nepārredzamība;24;56.95318304257095, 24.10553276538849;Nav
265;"Veloceļ&scaron; aiz Silciema ielas vienkār&scaron;i pazūd, kaut vietas atliku likām, lai turpinātu nodalītu veloceļu... Nepiecie&scaron;ama tikai pieturvietu pārplāno&scaron;ana.";Cits;24;56.98909832401167, 24.239058494567875;Nav
1028;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);24;56.95222408123909, 24.106895327568058;Nav
2012;Abās pusēs tunelim ir diezgan stāvas nobrauktuves tāpēc velosipēdisti braucot caur tuneli uzņem lielu ātrumu. Tunelis nav pārredzams un viegli izveidojas sadursmes ar gājējiem vai citiem velosipēdistiem. ;Šaurība, nepārredzamība;24;56.942862424314534, 24.096937333233654;Nav
260;"Pirms DUS veloceļ&scaron; nevajadzīgi sa&scaron;aurinās. Tam par iemeslu ir veci gaismas stabi, kuri jau n-tos gadus nedarbojas. Nepiecie&scaron;ams likvidēt stabus un papla&scaron;ināt veloceļu atbilsto&scaron;i iepriek&scaron;ējam platumam.";Šaurība, nepārredzamība;24;56.975020770760274, 24.1730010509491;Nav
274;"Nepiecie&scaron;ams izveidot nobrauktuvi, lai velosipēdistiem nav jānes velosipēds pa kāpnēm. Tādējādi posms tiktu padarīts pieejams arī invalīdiem.";Segums (bedres, augstas apmales);23;56.97624867621037, 24.164707660675052;Nav
180;"Platajā laukumā pie Nacionālā teātra arī ierīkot noasfaltētu veloceļu, lai cilvēkiem ir skaidrs, kur tālāk jābrauc, lai sasniegtu Jūrmalu pa &quot;Jūrmalas veloceļu&quot;";Segums (bedres, augstas apmales);23;56.95324503950178, 24.105173349380493;Nav
996;"Kāpnes! Nepiecie&scaron;ams izveidot lēzenu ietvi!";Segums (bedres, augstas apmales);23;56.952273813378284, 24.09913301467896;Nav
286;"Barjeras zem tilta sa&scaron;aurina veloceļu līdz &scaron;aurumam, kur divi velosipēdisti fiziski nevar samainīties. Jāsa&scaron;aurina brauktuves platums un barjeras no veloceļa jāpārvieto uz brauktuvi. (tur var izvietot pagaidu betona barjeras)";Šaurība, nepārredzamība;23;57.0330271909602, 24.13074553012848;Nav
3630;"Veloceļ&scaron; pazūd, bet velosipēdistiem kaut kur jābrauc.. daļa brauc caur cilvēkiem, daļa  pretēji transportam, gar pieturu.. nepiecie&scaron;ams organizēt to satiksmi kaut kā tomēr.";Cits;22;56.971839722651325, 24.16277647018433;Nav
471;"Barjeras nejēdzīgi un nevajadzīgi sa&scaron;aurina jau tā &scaron;auro ietvi tā, ka grūti samainīties gājējiem ar velosipēdistiem. Barjeras jālikvidē. ";Šaurība, nepārredzamība;22;56.95939360074504, 24.12902891635895;Nav
111;"&Scaron;aurs tilts pāri dzelzceļam.";Šaurība, nepārredzamība;21;56.926634613712494, 24.080689349211756;Nav
339;"Veloceliņ&scaron; &scaron;ķērso Ūnijas ielu - notekakas ar restēm paralēli veloceliņam, tie&scaron;i pa vidu. Ja riepas &scaron;aurākas kā kalnu velo, tad var iebraukt iek&scaron;ā un aizlidot.";Cits;21;56.9714713740309, 24.16152648130265;Nav
292;"Lietus notekas ļoti apgrūtina brauk&scaron;anu un padara neiespējamu brauk&scaron;anu invalīda ratiņos.";Segums (bedres, augstas apmales);21;56.95282671327997, 24.101547002792362;Nav
115;Bīstama bedre uzbraucot uz sliedēm.;Segums (bedres, augstas apmales);21;56.93986737137073, 24.091433754656467;Nav
284;"Zem Salu tilta nav apgaismojuma, diennakts tum&scaron;ajā laikā neko nevar redzēt ";Cits;21;56.936956103975504, 24.12656664848328;Nav
282;Augsta apmale;Segums (bedres, augstas apmales);20;56.992269131213256, 24.164911508560184;Nav
280;Nobrauktuve novirzīta uz ēkas kāpnēm, blakus ir plata ietve;Cits;20;56.954909521809654, 24.109518527984623;Nav
2042;"Ļoti &scaron;aura vieta, izmainīties nav iespējams. Ja ietvi papla&scaron;inātu vismaz līdz vietai, kur atrodas stabiņi, būtu kaut nedaudz labāk.";Šaurība, nepārredzamība;20;56.93821927352025, 24.097224371507767;Nav
